original,cleaned_sliding,best_abf,best_abgf,best_kalman,lsm_trend
27.7,27.7,33.24,27.7,27.7,26.012795755436887
27.75,27.75,27.75,27.742,27.74954954954955,26.112908484509465
27.78,27.78,27.796,27.805603999999995,27.777460555972954,26.212672717879727
27.75,27.75,27.7788,27.773662398000006,27.75230439442658,26.31208845554767
27.85,27.85,27.756240000000002,27.714856889701004,27.84180136613034,26.411155697513294
28.0,27.78,27.771072000000004,27.85659472006545,27.785186384039083,26.5098744437766
28.3,27.85,27.799616000000004,27.90352223092825,27.844560827290547,26.608244694337586
28.1,28.0,27.862528000000005,27.92974890035838,27.986955510911407,26.70626644919626
28.0,28.0,27.93249645714286,27.992163330883976,27.998905303646332,26.803939708352612
27.98,28.0,27.995703745306123,28.045737247157163,27.99990813284456,26.901264471806645
28.05,28.05,28.056627597061222,28.081422043868198,28.045796279643373,26.998240739558362
28.2,28.05,28.104924838661223,28.100241902110376,28.049647222875883,27.09486851160776
28.2,28.05,28.14056673165061,28.10225544766083,28.049970394867227,27.191147787954836
28.42,28.2,28.194963576421635,28.122329340983544,28.18740948299578,27.2870785685996
28.45,28.2,28.238674760837625,28.153150575235333,28.19894340108212,27.382660853542042
28.9,28.42,28.316368716254892,28.229553420002667,28.401448882271552,27.477894642782168
28.98,28.45,28.387484774409995,28.32431765657043,28.44592557966947,27.572779936319975
29.25,28.9,28.535940501573826,28.506271833876312,28.861893976156946,27.667316734155463
29.25,28.98,28.67873580753488,28.712905470502,28.97008851686185,27.761505036288636
29.2549,29.25,28.852879193332452,28.959634222650685,29.226509767622137,27.85534484271949
29.2549,29.25,28.99916093366643,29.183906623593113,29.24802869460381,27.948836153448024
29.2549,29.2549,29.12112694277046,29.3698536547805,29.25432335856076,28.04197896847424
29.2549,29.2549,29.22061079372839,29.50982031094891,29.254851608125346,28.134773287798136
29.2549,29.2549,29.300643188861898,29.603961377169888,29.25489593894338,28.227219111419718
29.2549,29.2549,29.364126695614612,29.656852210498144,29.254899659195246,28.31931643933898
29.2549,29.2549,29.41372625432532,29.675371053917566,29.254899971399592,28.411065271555923
29.2549,29.2549,29.45181763875063,29.66717342443292,29.254899997599846,28.50246560807055
29.2549,29.2549,29.480473045010104,29.63968980177687,29.254899999798578,28.59351744888286
29.2549,29.2549,29.501469395274007,29.59953955647036,29.254899999983095,28.684220793992846
29.2549,29.2549,29.51630957552264,29.55225040950034,29.25489999999858,28.774575643400517
29.2549,29.2549,29.526250121872856,29.50218597889505,29.254899999999882,28.86458199710587
29.2549,29.2549,29.53233117880218,29.45260347164583,29.25489999999999,28.95423985510891
29.2549,29.2549,29.535406145772725,29.405783470061976,29.2549,29.043549217409623
29.2549,29.2549,29.5361695095965,29.36319123618352,29.2549,29.132510084008022
29.2549,29.2549,29.535182078441906,29.325643008736947,29.2549,29.221122454904105
29.2549,29.2549,29.532893298874157,29.29346135677208,29.2549,29.30938633009787
29.2549,29.2549,29.529660628334877,29.26661120372192,29.2549,29.39730170958931
29.2549,29.2549,29.525766107959,29.244813228360695,29.2549,29.484868593378437
29.2549,29.2549,29.52143037405488,29.22763457168029,29.2549,29.572086981465244
29.2549,29.2549,29.516824388464777,29.214558646902407,29.2549,29.65895687384974
29.2549,29.2549,29.51207917736733,29.205036782660187,29.2549,29.74547827053191
29.2549,29.2549,29.50729385780719,29.198524748504113,29.2549,29.831651171511762
29.2549,29.2549,29.50254220999637,29.19450715328275,29.2549,29.9174755767893
29.2549,29.2549,29.497878026904523,29.192512436623765,29.2549,30.00295148636452
29.2549,29.2549,29.49333944446126,29.192120803565786,29.2549,30.088078900237416
29.2549,29.2549,29.488952428048528,29.1929670540954,29.2549,30.172857818407998
29.2549,29.2549,29.484733565136377,29.1947398759908,29.2549,30.25728824087626
