,MAE,MSE,RMSE,R2
raw_polyfit,0.7700130147737094,0.9891767028531204,0.9945736286736746,0.9481559051848455
clean_slide_polyfit,0.768457176148881,0.9409370093359032,0.97001907678968,0.9506417636253073
