name,mean,std,skew,kurtosis,seasonal_strength,hurst,adf_pvalue,cluster
Купівля,36.47947126436782,4.372454946229723,-0.7638116312272613,-0.966549177935772,0.9896292161964124,0.5579206870043765,0.2527917172392231,2
Продаж,37.378045977011496,4.027538250001944,-0.75774132126635,-0.8401237181593539,0.9798330042450499,,0.1882804821551992,0
КурсНбу,33.22205229885058,3.702722257092036,-0.20820369695085533,-1.9507591420454928,0.9802879072521392,0.47751970993012227,0.6336726771296279,1
