Дата,value
2022-12-06,40.0
2022-12-07,39.85
2022-12-08,39.85
2022-12-09,39.75
2022-12-12,39.65
2022-12-13,39.7
2022-12-13,39.7
2022-12-14,39.75
2022-12-14,39.85
2022-12-15,39.85
2022-12-16,39.75
2022-12-19,39.75
2022-12-20,39.8
2022-12-21,39.85
2022-12-22,39.95
2022-12-22,39.95
2022-12-23,40.0
2022-12-26,40.0
2022-12-27,40.2
2022-12-28,40.25
2022-12-28,40.05
2022-12-29,40.05
2022-12-29,40.05
2022-12-29,40.05
2022-12-29,40.05
2022-12-29,40.15
2022-12-30,40.12
2023-01-01,40.15
2023-01-03,40.2
2023-01-04,40.15
2023-01-05,40.25
2023-01-06,40.25
2023-01-09,40.2
2023-01-09,40.3
2023-01-10,40.38
2023-01-11,40.35
2023-01-11,40.2
2023-01-12,40.25
2023-01-13,40.3
2023-01-13,40.3
2023-01-15,40.25
2023-01-17,40.25
2023-01-18,40.25
2023-01-18,40.25
2023-01-19,40.25
2023-01-19,40.2
2023-01-23,40.15
2023-01-24,40.2
2023-01-24,40.2
2023-01-25,40.25
2023-01-25,40.25
2023-01-26,40.25
2023-01-26,40.25
2023-01-30,40.25
2023-01-31,40.2
2023-01-31,40.0
2023-02-01,40.1
2023-02-01,40.1
2023-02-02,39.95
2023-02-03,39.8
2023-02-06,39.8
2023-02-06,39.8
