Дата,original,fitted_simple,forecast_simple,fitted_holt,forecast_holt,fitted_hw,forecast_hw
2022-02-08,27.7,27.7,,27.75,,27.670667091145027,
2022-02-09,27.75,27.7,,27.756830397336074,,27.97185990878523,
2022-02-10,27.78,27.743542510229016,,27.800933086555375,,27.725441952502216,
2022-02-11,27.75,27.775291522654562,,27.832859625972873,,27.80083262177748,
2022-02-14,27.85,27.75326639497669,,27.811319283370263,,27.73727979409969,
2022-02-14,28.0,27.83750687470103,,27.894715906723498,,27.842206302642094,
2022-02-15,28.3,27.97901404611053,,28.035617356195065,,28.06985157127632,
2022-02-15,28.1,28.258544729722583,,28.313883229881014,,28.23083591919405,
2022-02-16,28.0,28.120476019408542,,28.179218148872206,,28.105092967002825,
2022-02-17,27.98,28.01555945325959,,28.074482623332656,,28.02640658886663,
2022-02-17,28.05,27.984592496113713,,28.042907077174334,,28.01460723352521,
2022-02-18,28.2,28.041552634254174,,28.09903105037653,,28.09328068743763,
2022-02-21,28.2,28.179536555129136,,28.236206839109315,,28.2392574597749,
2022-02-22,28.42,28.197357150281345,,28.254946141948,,28.481218291383772,
2022-02-22,28.45,28.391245721507183,,28.447452331353063,,28.373524214678064,
2022-02-23,28.9,28.44241189695262,,28.499651968217215,,28.46784219352421,
2022-02-23,28.98,28.84090259010495,,28.89530927740417,,28.821381194787314,
2022-02-24,29.25,28.962035597968647,,29.018430574279826,,28.965943956168637,
2022-02-24,29.25,29.2128094563895,,29.268365776228894,,29.30262449742191,
2022-02-24,29.2549,29.245196848901156,,29.302508910980574,,29.21941709734254,
2022-02-24,29.2549,29.253646840020657,,29.311403755574702,,29.237300638629076,
2022-02-25,29.2549,29.254738154645036,,29.312618862031112,,29.264566603738057,
2022-02-25,29.2549,29.254879097705516,,29.31278485522917,,29.284494476714507,
2022-03-02,29.2549,29.25489730047294,,29.312807531219125,,29.30704746418688,
2022-03-03,29.2549,29.25489965135663,,29.312810628939555,,29.315833040599365,
2022-03-04,29.2549,29.254899954972778,,29.31281105211278,,29.539075680044203,
2022-03-05,29.2549,29.25489999418474,,29.312811109921608,,29.238844237021365,
2022-03-07,29.2549,29.25489999924896,,29.31281111781875,,29.28098582447409,
2022-03-09,29.2549,29.254899999903,,29.312811118897564,,29.23880337257171,
2022-03-12,29.2549,29.25489999998747,,29.31281111904494,,29.26028950071267,
2022-03-14,29.2549,29.25489999999838,,29.31281111906507,,29.34701607913221,
2022-03-15,29.2549,29.25489999999979,,29.31281111906782,,29.2297052784888,
2022-03-16,29.2549,29.25489999999997,,29.312811119068197,,29.23870434497055,
2022-03-17,29.2549,29.254899999999992,,29.31281111906825,,29.26475812364474,
2022-03-18,29.2549,29.254899999999996,,29.312811119068257,,29.28452060744682,
2022-03-21,29.2549,29.254899999999996,,29.312811119068257,,29.30705102943074,
2022-03-22,29.2549,29.254899999999996,,29.312811119068257,,29.3158335270367,
2022-03-23,29.2549,29.254899999999996,,29.312811119068257,,29.539075746413094,
2022-03-23,29.2549,29.254899999999996,,29.312811119068257,,29.238844246076653,
2022-03-24,29.2549,29.254899999999996,,29.312811119068257,,29.280985825709585,
2022-03-25,29.2549,29.254899999999996,,29.312811119068257,,29.23880337274028,
2022-03-28,29.2549,29.254899999999996,,29.312811119068257,,29.26028950073567,
2022-03-29,29.2549,29.254899999999996,,29.312811119068257,,29.34701607913535,
2022-03-30,29.2549,29.254899999999996,,29.312811119068257,,29.22970527848923,
2022-03-31,29.2549,29.254899999999996,,29.312811119068257,,29.238704344970607,
2022-04-01,29.2549,29.254899999999996,,29.312811119068257,,29.26475812364475,
2022-04-04,29.2549,29.254899999999996,,29.312811119068257,,29.284520607446822,
2022-04-05,29.2549,29.254899999999996,,29.312811119068257,,29.30705102943074,
2022-04-06,29.2549,29.254899999999996,,29.312811119068257,,29.3158335270367,
2022-04-07,29.2549,29.254899999999996,,29.312811119068257,,29.539075746413094,
2022-04-08,29.2549,29.254899999999996,,29.312811119068257,,29.238844246076653,
2022-04-09,29.2549,29.254899999999996,,29.312811119068257,,29.280985825709585,
2022-04-11,29.2549,29.254899999999996,,29.312811119068257,,29.23880337274028,
2022-04-12,29.2549,29.254899999999996,,29.312811119068257,,29.26028950073567,
2022-04-13,29.2549,29.254899999999996,,29.312811119068257,,29.34701607913535,
2022-04-14,29.2549,29.254899999999996,,29.312811119068257,,29.22970527848923,
2022-04-15,29.2549,29.254899999999996,,29.312811119068257,,29.238704344970607,
2022-04-18,29.2549,29.254899999999996,,29.312811119068257,,29.26475812364475,
2022-04-18,29.2549,29.254899999999996,,29.312811119068257,,29.284520607446822,
2022-04-19,29.5,29.254899999999996,,29.312811119068257,,29.30705102943074,
2022-04-20,29.5,29.468345385142634,,29.524428511326825,,29.527492394983888,
2022-04-21,29.5,29.495911812967083,,29.553337128773823,,29.77961308091749,
2022-04-22,29.8,29.49947201148106,,29.55728627564581,,29.483321721803495,
2022-04-25,29.9,29.76118687176489,,29.816843376474853,,29.785069271110366,
2022-04-26,29.9,29.88207231288687,,29.938640144403937,,29.864663253507373,
2022-04-27,29.9,29.89768464287699,,29.95527855078804,,29.902764403355093,
2022-04-28,31.0,29.89970097210124,,29.957551489320892,,29.991757914189794,
2022-04-29,31.2,30.857896605646403,,30.90759324939327,,30.82467381092768,
2022-05-02,31.3,31.155817416606855,,31.210054914192117,,31.136032853160852,
2022-05-03,31.3,31.281378848851695,,31.3377127865101,,31.28969636937608,
2022-05-04,31.3,31.29759508213872,,31.355151866330292,,31.326869763354967,
2022-05-05,31.4,31.299689405350215,,31.35753418321724,,31.351775707763945,
2022-05-06,31.5,31.387044907222553,,31.444198831963458,,31.4472384458996,
2022-05-09,31.5,31.48541187287618,,31.54237711700987,,31.768663334246384,
2022-05-09,31.5,31.4981159463664,,31.555789050942696,,31.481827752303808,
2022-05-10,31.5,31.49975667485866,,31.55762122769882,,31.525797053992953,
2022-05-11,31.5,31.499968574607774,,31.55787151760351,,31.483863973094792,
2022-05-12,31.5,31.499995941417023,,31.557905709193474,,31.505384125098185,
2022-05-13,31.5,31.499999475834837,,31.557910380036372,,31.592115345690214,
2022-05-16,31.5,31.499999932304174,,31.55791101811063,,31.474805178418908,
2022-05-17,31.5,31.4999999912571,,31.557911105276645,,31.483804331317145,
2022-05-18,31.5,31.499999998870855,,31.557911117184215,,31.50985812178189,
2022-05-19,31.5,31.499999999854168,,31.557911118810882,,31.52962060719266,
2022-05-20,31.5,31.499999999981164,,31.5579111190331,,31.55215102939606,
2022-05-22,31.6,31.499999999997566,,31.557911119063455,,31.56093352703197,
2022-05-24,38.8,31.587085020457717,,31.644250324395454,,31.870531873685884,
2022-05-24,37.0,37.86845350601256,,37.8724677295628,,37.799723857134,
2022-05-24,37.0,37.112160592633025,,37.16918602511632,,37.137389757571526,
2022-05-24,36.2,37.0144855175927,,37.073112155505115,,36.999089539543185,
2022-05-24,36.2,36.30519063796939,,36.36927405882112,,36.31661246381883,
2022-05-24,36.2,36.213585349373815,,36.273124181608765,,36.30729119866114,
2022-05-25,34.0,36.201754545092335,,36.25998934430527,,36.17687575248343,
2022-05-25,34.0,34.28435614906303,,34.35873250393796,,34.284252037791674,
2022-05-26,34.4,34.03672453847782,,34.09900571078522,,34.050850824463154,
2022-05-26,35.8,34.35308304846342,,34.40888178817548,,34.3806381084674,
2022-05-27,35.7,35.61313097171978,,35.6599621974358,,35.65445370143976,
2022-05-30,35.7,35.68878088276931,,35.744530518000474,,35.74760382794836,
2022-05-30,35.5,35.69855105330487,,35.756083222630494,,35.98235705923465,
2022-05-31,35.3,35.52564282791469,,35.584983003233376,,35.51098385216586,
2022-05-31,35.1,35.329141725063096,,35.38893094292223,,35.35706282060329,
2022-06-01,35.0,35.129593606914014,,35.1894702628569,,35.11541757995123,
2022-06-01,34.75,35.01673698782064,,35.07588314357366,,35.023333131784874,
2022-06-02,34.9,34.7844490274079,,34.84451822711473,,34.878673967134645,
2022-06-03,34.9,34.88507661552919,,34.94242074892567,,34.85932738110952,
2022-06-06,35.0,34.898072647948624,,34.95579501140912,,34.881692560351375,
2022-06-06,34.5,34.986836103334895,,35.04396124727376,,34.99592612171247,
2022-06-07,34.5,34.562874783148615,,34.624309429086125,,34.595939106467746,
2022-06-07,34.5,34.508120265380704,,34.566981655865575,,34.56119944103132,
2022-06-08,34.55,34.50104873061267,,34.55915022647581,,34.56216808079926,
2022-06-09,34.6,34.54367795357309,,34.601249993650896,,34.827522250993916,
2022-06-10,34.7,34.59272601922635,,34.65017075906607,,34.57621451526651,
2022-06-13,34.7,34.686145587329236,,34.74319292970932,,34.71138731834918,
2022-06-13,34.7,34.698210705437916,,34.75590049744048,,34.68189792710333,
2022-06-13,34.7,34.69976891297337,,34.75763645217606,,34.70511588028536,
2022-06-14,34.85,34.69997015515779,,34.757873597388084,,34.792078746709365,
2022-06-15,35.0,34.83062367623179,,34.88741480130035,,34.80433437581069,
2022-06-16,35.2,34.97812508243639,,35.03461996717441,,34.96054551197332,
2022-06-17,35.35,35.171344899787904,,35.22740777328697,,35.179396972619784,
2022-06-20,35.25,35.326926730356924,,35.383252927624724,,35.35499871768008,
2022-06-20,35.0,35.2599350714879,,35.318203408837434,,35.312435522854656,
2022-06-21,35.0,35.03357056130506,,35.09346911432105,,35.09644641204645,
2022-06-22,35.0,35.00433563112467,,35.06276862378927,,35.28902107924535,
2022-06-23,35.0,35.000559945872766,,35.05857469281439,,34.98460533712146,
2022-06-24,35.1,35.000072316894915,,35.05800176851521,,35.02617602413034,
2022-06-26,35.1,35.08709436017021,,35.14426270783093,,35.07027180657145,
2022-06-27,35.1,35.09833323925622,,35.15604663763311,,35.10352962719695,
2022-06-28,35.2,35.09978473819093,,35.157656416087704,,35.191862320356854,
2022-06-29,35.2,35.18705721943943,,35.244215529944924,,35.1611267832379,
2022-06-30,35.3,35.19832844253844,,35.25604019275899,,35.18193806848761,
2022-06-30,35.3,35.286869139153836,,35.34399474099453,,35.29595961853011,
2022-07-01,35.3,35.29830415200803,,35.35601003123381,,35.32772431309808,
2022-07-04,35.25,35.29978098157877,,35.35765141536265,,35.35189230144327,
2022-07-04,35.25,35.25642920358669,,35.31470603881435,,35.317720162882665,
2022-07-05,35.15,35.25083033032793,,35.308839359102905,,35.535101706370334,
2022-07-05,35.05,35.163022216533946,,35.221698718705596,,35.147714455601275,
2022-07-05,35.05,35.064596796143235,,35.123455409417076,,35.09160848829787,
2022-07-06,34.95,35.05188517323568,,35.11003459265605,,35.036021265067596,
2022-07-07,35.1,34.96315844927969,,35.02186199710715,,34.969322335995855,
2022-07-07,35.4,35.08232694171956,,35.13932572786389,,35.17355124835561,
2022-07-07,35.55,35.35897258951273,,35.41438982292037,,35.33134069842604,
2022-07-08,35.55,35.52532884901601,,35.58147457215462,,35.5074082838958,
2022-07-11,36.0,35.54681372589765,,35.60429967667598,,35.55625667866687,
2022-07-12,36.1,35.94147108541267,,35.99594419131368,,35.967731803608174,
2022-07-12,36.5,36.07952602311294,,36.13578514963092,,36.13006312707643,
2022-07-12,36.8,36.445695871905734,,36.50024535712561,,36.50334439084525,
2022-07-13,36.8,36.75424169434028,,36.80905113371669,,37.0353867397871,
2022-07-13,37.0,36.7940903241853,,36.851236456792535,,36.77728753610804,
2022-07-14,36.9,36.973406807493596,,37.02967771781542,,36.99788984722056,
2022-07-14,37.0,36.90948047417021,,36.967715006766284,,36.89370022204779,
2022-07-15,37.0,36.98830942175759,,37.04558961336443,,36.99308229765983,
2022-07-15,36.9,36.99849016421165,,37.05622790347354,,37.09043690001148,
2022-07-18,36.8,36.912719984558784,,36.97134197311412,,36.88822004615328,
2022-07-19,36.8,36.814557762945476,,36.87340667513432,,36.79927851152382,
2022-07-19,36.7,36.80188013210618,,36.860027935165746,,36.81196939923476,
2022-07-20,36.5,36.713157798218845,,36.77186108764107,,36.7435525399278,
2022-07-21,36.5,36.52752928603207,,36.587138384976114,,36.581339630019926,
2022-07-21,36.65,36.50355540165909,,36.56190379585222,,36.56491598255176,
2022-07-21,36.8,36.63108671008395,,36.68796535843741,,36.91425329848511,
2022-07-22,37.0,36.778184883163675,,36.83469517765445,,36.76076024354749,
2022-07-22,37.8,36.97135262303959,,37.02741804763622,,36.995634884458454,
2022-07-25,38.0,37.69298036079051,,37.744459165813524,,37.670597703259396,
2022-07-25,38.2,37.96034847640627,,38.01509109133829,,37.96264247394657,
2022-07-26,38.5,38.16904905475586,,38.22473997365722,,38.258995983752726,
2022-07-26,38.9,38.45725775312777,,38.51239729298682,,38.42935479664861,
2022-07-27,39.0,38.8428199293928,,38.89705039005125,,38.8230276481684,
2022-07-27,39.2,38.97970022603703,,39.03593626516913,,38.98792195575907,
2022-07-28,39.5,39.17154832926168,,39.227587590053304,,39.19933991916628,
2022-07-29,39.5,39.45758053391889,,39.51278630001573,,39.50708795268131,
2022-08-02,39.65,39.49452153463381,,39.551746710191324,,39.55478517819834,
2022-08-03,39.65,39.62991998800579,,39.68657781982061,,39.91287106443295,
2022-08-03,39.35,39.64740667055892,,39.70499682086124,,39.63103746238247,
2022-08-03,39.0,39.388410010659136,,39.4484953867905,,39.416620846021615,
2022-08-04,38.5,39.05016307341559,,39.1112680339035,,39.03718747386432,
2022-08-04,38.4,38.57105344837909,,38.63350407100803,,38.58087887930936,
2022-08-05,38.65,38.42209151786399,,38.48189851169151,,38.51605962659658,
2022-08-05,38.6,38.620565666157724,,38.677036000841355,,38.59396242381464,
2022-08-08,38.6,38.60265605157694,,38.66052372989857,,38.586418121496855,
2022-08-08,38.8,38.60034302851779,,38.65826802246937,,38.61021474398734,
2022-08-09,38.85,38.77421434297896,,38.83063828556476,,38.80238151881934,
2022-08-10,39.4,38.84021229789999,,38.89735503594599,,38.89161262648324,
2022-08-11,39.5,39.327703532795326,,39.38133470353068,,39.38445438075501,
2022-08-11,39.5,39.477747946508984,,39.53378937750223,,39.760097156305484,
2022-08-12,39.5,39.497126151843965,,39.55461589748158,,39.480658993888014,
2022-08-15,39.5,39.49962884309858,,39.557460965613316,,39.525637590082226,
2022-08-16,39.5,39.49995206516211,,39.55784962452907,,39.483842216041765,
2022-08-17,39.55,39.499993809225494,,39.557902718425524,,39.50538115659356,
2022-08-18,39.65,39.543541710691755,,39.60107957413763,,39.63529300430793,
2022-08-19,39.75,39.63625093371511,,39.693317081070205,,39.610230474117174,
2022-08-22,39.75,39.73530933136013,,39.79225666283082,,39.718171904485374,
2022-08-23,39.75,39.748102703150586,,39.80577259594462,,39.75772525336088,
2022-08-24,39.9,39.74975496450005,,39.80761897981532,,39.77932960133987,
2022-08-25,39.9,39.880595884402354,,39.937380018516535,,39.93164551583803,
2022-08-26,39.8,39.897493962440265,,39.95510640757796,,39.95813578086018,
2022-08-29,39.8,39.81259132530381,,39.87118876786256,,40.09743789821212,
2022-08-29,39.8,39.80162616708704,,39.85972495140733,,39.78575371718891,
2022-08-30,39.8,39.800210019146604,,39.858158902979795,,39.826332707645165,
2022-08-31,39.8,39.800027123929816,,39.85794496831964,,39.78393705699735,
2022-09-01,39.8,39.80000350304998,,39.857915743144986,,39.805394096572826,
2022-09-02,39.8,39.80000045241818,,39.857911750753885,,39.89211670618552,
2022-09-05,39.8,39.80000005842971,,39.85791120536153,,39.774805364043154,
2022-09-06,39.8,39.80000000754618,,39.85791113085661,,39.78380435664348,
2022-09-07,39.8,39.800000000974585,,39.85791112067864,,39.809858125237376,
2022-09-08,39.8,39.80000000012586,,39.85791111928825,,39.82962060766411,
2022-09-09,39.8,39.800000000016254,,39.857911119098304,,39.85215102946038,
2022-09-12,39.8,39.80000000000209,,39.857911119072355,,39.86093352704074,
2022-09-13,39.8,39.80000000000027,,39.85791111906882,,40.08417574641364,
2022-09-14,39.8,39.80000000000003,,39.85791111906833,,39.78394424607672,
2022-09-15,39.8,39.8,,39.85791111906826,,39.8260858257096,
2022-09-16,39.8,39.8,,39.85791111906826,,39.783903372740276,
2022-09-19,39.8,39.8,,39.85791111906826,,39.805389500735664,
2022-09-20,39.8,39.8,,39.85791111906826,,39.89211607913535,
2022-09-20,40.6,39.8,,39.85791111906826,,39.774805278489225,
2022-09-21,40.6,40.49668016366426,,40.54862476169109,,40.474653363158076,
2022-09-21,40.8,40.586656264274446,,40.6429817341823,,40.594965702606444,
2022-09-22,40.8,40.77244670017697,,40.82855005710887,,40.800300959021314,
2022-09-23,41.0,40.79644149696472,,40.853900164680425,,40.84815069391568,
2022-09-23,41.0,40.97371046097706,,41.03004160148065,,41.033099980897255,
2022-09-23,41.3,40.99660471141351,,41.05410392149449,,41.28037817280253,
2022-09-26,41.3,41.26081656054776,,41.316408641608504,,41.242494491786815,
2022-09-27,41.4,41.2949394668109,,41.35224155083863,,41.3204304739888,
2022-09-28,41.45,41.38643145363195,,41.44347581632147,,41.36948789102268,
2022-09-29,41.5,41.44179013524144,,41.499108744663644,,41.44660073439391,
